|  SP | White    | Black    | Chess960FEN                                                   |
|  93 | NNRBKRBQ | nnrbkrbq | [FEN "nnrbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NNRBKRBQ w - - 0 1"] |
|  94 | NNRKRBBQ | nnrkrbbq | [FEN "nnrkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NNRKRBBQ w - - 0 1"] |
|  95 | NNRKRQBB | nnrkrqbb | [FEN "nnrkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKRQBB w - - 0 1"] |
|  96 | BBQNRNKR | bbqnrnkr | [FEN "bbqnrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRNKR w - - 0 1"] |
|  97 | BQNBRNKR | bqnbrnkr | [FEN "bqnbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRNKR w - - 0 1"] |
|  98 | BQNRNBKR | bqnrnbkr | [FEN "bqnrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNRNBKR w - - 0 1"] |
|  99 | BQNRNKRB | bqnrnkrb | [FEN "bqnrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRNKRB w - - 0 1"] |
| 100 | QBBNRNKR | qbbnrnkr | [FEN "qbbnrnkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRNKR w - - 0 1"] |
| 101 | QNBBRNKR | qnbbrnkr | [FEN "qnbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRNKR w - - 0 1"] |
| 102 | QNBRNBKR | qnbrnbkr | [FEN "qnbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBRNBKR w - - 0 1"] |
| 103 | QNBRNKRB | qnbrnkrb | [FEN "qnbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRNKRB w - - 0 1"] |
| 104 | QBNRBNKR | qbnrbnkr | [FEN "qbnrbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBNKR w - - 0 1"] |
| 105 | QNRBBNKR | qnrbbnkr | [FEN "qnrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBNKR w - - 0 1"] |
| 106 | QNRNBBKR | qnrnbbkr | [FEN "qnrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNRNBBKR w - - 0 1"] |
| 107 | QNRNBKRB | qnrnbkrb | [FEN "qnrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNRNBKRB w - - 0 1"] |
| 108 | QBNRNKBR | qbnrnkbr | [FEN "qbnrnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRNKBR w - - 0 1"] |
| 109 | QNRBNKBR | qnrbnkbr | [FEN "qnrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBNKBR w - - 0 1"] |
| 110 | QNRNKBBR | qnrnkbbr | [FEN "qnrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRNKBBR w - - 0 1"] |
| 111 | QNRNKRBB | qnrnkrbb | [FEN "qnrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRNKRBB w - - 0 1"] |
| 112 | BBNQRNKR | bbnqrnkr | [FEN "bbnqrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRNKR w - - 0 1"] |
| 113 | BNQBRNKR | bnqbrnkr | [FEN "bnqbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRNKR w - - 0 1"] |
| 114 | BNQRNBKR | bnqrnbkr | [FEN "bnqrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQRNBKR w - - 0 1"] |
| 115 | BNQRNKRB | bnqrnkrb | [FEN "bnqrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRNKRB w - - 0 1"] |
| 116 | NBBQRNKR | nbbqrnkr | [FEN "nbbqrnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRNKR w - - 0 1"] |
| 117 | NQBBRNKR | nqbbrnkr | [FEN "nqbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRNKR w - - 0 1"] |
| 118 | NQBRNBKR | nqbrnbkr | [FEN "nqbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBRNBKR w - - 0 1"] |
| 119 | NQBRNKRB | nqbrnkrb | [FEN "nqbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRNKRB w - - 0 1"] |
| 120 | NBQRBNKR | nbqrbnkr | [FEN "nbqrbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBNKR w - - 0 1"] |
| 121 | NQRBBNKR | nqrbbnkr | [FEN "nqrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBNKR w - - 0 1"] |
