|  SP | White    | Black    | Chess960FEN                                                   |
| 352 | BBNRKRQN | bbnrkrqn | [FEN "bbnrkrqn/pppppppp/8/8/8/8/PPPPPPPP/BBNRKRQN w - - 0 1"] |
| 353 | BNRBKRQN | bnrbkrqn | [FEN "bnrbkrqn/pppppppp/8/8/8/8/PPPPPPPP/BNRBKRQN w - - 0 1"] |
| 354 | BNRKRBQN | bnrkrbqn | [FEN "bnrkrbqn/pppppppp/8/8/8/8/PPPPPPPP/BNRKRBQN w - - 0 1"] |
| 355 | BNRKRQNB | bnrkrqnb | [FEN "bnrkrqnb/pppppppp/8/8/8/8/PPPPPPPP/BNRKRQNB w - - 0 1"] |
| 356 | NBBRKRQN | nbbrkrqn | [FEN "nbbrkrqn/pppppppp/8/8/8/8/PPPPPPPP/NBBRKRQN w - - 0 1"] |
| 357 | NRBBKRQN | nrbbkrqn | [FEN "nrbbkrqn/pppppppp/8/8/8/8/PPPPPPPP/NRBBKRQN w - - 0 1"] |
| 358 | NRBKRBQN | nrbkrbqn | [FEN "nrbkrbqn/pppppppp/8/8/8/8/PPPPPPPP/NRBKRBQN w - - 0 1"] |
| 359 | NRBKRQNB | nrbkrqnb | [FEN "nrbkrqnb/pppppppp/8/8/8/8/PPPPPPPP/NRBKRQNB w - - 0 1"] |
| 360 | NBRKBRQN | nbrkbrqn | [FEN "nbrkbrqn/pppppppp/8/8/8/8/PPPPPPPP/NBRKBRQN w - - 0 1"] |
| 361 | NRKBBRQN | nrkbbrqn | [FEN "nrkbbrqn/pppppppp/8/8/8/8/PPPPPPPP/NRKBBRQN w - - 0 1"] |
| 362 | NRKRBBQN | nrkrbbqn | [FEN "nrkrbbqn/pppppppp/8/8/8/8/PPPPPPPP/NRKRBBQN w - - 0 1"] |
| 363 | NRKRBQNB | nrkrbqnb | [FEN "nrkrbqnb/pppppppp/8/8/8/8/PPPPPPPP/NRKRBQNB w - - 0 1"] |
| 364 | NBRKRQBN | nbrkrqbn | [FEN "nbrkrqbn/pppppppp/8/8/8/8/PPPPPPPP/NBRKRQBN w - - 0 1"] |
| 365 | NRKBRQBN | nrkbrqbn | [FEN "nrkbrqbn/pppppppp/8/8/8/8/PPPPPPPP/NRKBRQBN w - - 0 1"] |
| 366 | NRKRQBBN | nrkrqbbn | [FEN "nrkrqbbn/pppppppp/8/8/8/8/PPPPPPPP/NRKRQBBN w - - 0 1"] |
| 367 | NRKRQNBB | nrkrqnbb | [FEN "nrkrqnbb/pppppppp/8/8/8/8/PPPPPPPP/NRKRQNBB w - - 0 1"] |
| 368 | BBNRKRNQ | bbnrkrnq | [FEN "bbnrkrnq/pppppppp/8/8/8/8/PPPPPPPP/BBNRKRNQ w - - 0 1"] |
| 369 | BNRBKRNQ | bnrbkrnq | [FEN "bnrbkrnq/pppppppp/8/8/8/8/PPPPPPPP/BNRBKRNQ w - - 0 1"] |
| 370 | BNRKRBNQ | bnrkrbnq | [FEN "bnrkrbnq/pppppppp/8/8/8/8/PPPPPPPP/BNRKRBNQ w - - 0 1"] |
| 371 | BNRKRNQB | bnrkrnqb | [FEN "bnrkrnqb/pppppppp/8/8/8/8/PPPPPPPP/BNRKRNQB w - - 0 1"] |
| 372 | NBBRKRNQ | nbbrkrnq | [FEN "nbbrkrnq/pppppppp/8/8/8/8/PPPPPPPP/NBBRKRNQ w - - 0 1"] |
| 373 | NRBBKRNQ | nrbbkrnq | [FEN "nrbbkrnq/pppppppp/8/8/8/8/PPPPPPPP/NRBBKRNQ w - - 0 1"] |
| 374 | NRBKRBNQ | nrbkrbnq | [FEN "nrbkrbnq/pppppppp/8/8/8/8/PPPPPPPP/NRBKRBNQ w - - 0 1"] |
| 375 | NRBKRNQB | nrbkrnqb | [FEN "nrbkrnqb/pppppppp/8/8/8/8/PPPPPPPP/NRBKRNQB w - - 0 1"] |
| 376 | NBRKBRNQ | nbrkbrnq | [FEN "nbrkbrnq/pppppppp/8/8/8/8/PPPPPPPP/NBRKBRNQ w - - 0 1"] |
| 377 | NRKBBRNQ | nrkbbrnq | [FEN "nrkbbrnq/pppppppp/8/8/8/8/PPPPPPPP/NRKBBRNQ w - - 0 1"] |
| 378 | NRKRBBNQ | nrkrbbnq | [FEN "nrkrbbnq/pppppppp/8/8/8/8/PPPPPPPP/NRKRBBNQ w - - 0 1"] |
| 379 | NRKRBNQB | nrkrbnqb | [FEN "nrkrbnqb/pppppppp/8/8/8/8/PPPPPPPP/NRKRBNQB w - - 0 1"] |
| 380 | NBRKRNBQ | nbrkrnbq | [FEN "nbrkrnbq/pppppppp/8/8/8/8/PPPPPPPP/NBRKRNBQ w - - 0 1"] |
| 381 | NRKBRNBQ | nrkbrnbq | [FEN "nrkbrnbq/pppppppp/8/8/8/8/PPPPPPPP/NRKBRNBQ w - - 0 1"] |
| 382 | NRKRNBBQ | nrkrnbbq | [FEN "nrkrnbbq/pppppppp/8/8/8/8/PPPPPPPP/NRKRNBBQ w - - 0 1"] |
| 383 | NRKRNQBB | nrkrnqbb | [FEN "nrkrnqbb/pppppppp/8/8/8/8/PPPPPPPP/NRKRNQBB w - - 0 1"] |
| 384 | BBQRNNKR | bbqrnnkr | [FEN "bbqrnnkr/pppppppp/8/8/8/8/PPPPPPPP/BBQRNNKR w - - 0 1"] |
| 385 | BQRBNNKR | bqrbnnkr | [FEN "bqrbnnkr/pppppppp/8/8/8/8/PPPPPPPP/BQRBNNKR w - - 0 1"] |
| 386 | BQRNNBKR | bqrnnbkr | [FEN "bqrnnbkr/pppppppp/8/8/8/8/PPPPPPPP/BQRNNBKR w - - 0 1"] |
| 387 | BQRNNKRB | bqrnnkrb | [FEN "bqrnnkrb/pppppppp/8/8/8/8/PPPPPPPP/BQRNNKRB w - - 0 1"] |
| 388 | QBBRNNKR | qbbrnnkr | [FEN "qbbrnnkr/pppppppp/8/8/8/8/PPPPPPPP/QBBRNNKR w - - 0 1"] |
| 389 | QRBBNNKR | qrbbnnkr | [FEN "qrbbnnkr/pppppppp/8/8/8/8/PPPPPPPP/QRBBNNKR w - - 0 1"] |
| 390 | QRBNNBKR | qrbnnbkr | [FEN "qrbnnbkr/pppppppp/8/8/8/8/PPPPPPPP/QRBNNBKR w - - 0 1"] |
| 391 | QRBNNKRB | qrbnnkrb | [FEN "qrbnnkrb/pppppppp/8/8/8/8/PPPPPPPP/QRBNNKRB w - - 0 1"] |
| 392 | QBRNBNKR | qbrnbnkr | [FEN "qbrnbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBRNBNKR w - - 0 1"] |
| 393 | QRNBBNKR | qrnbbnkr | [FEN "qrnbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QRNBBNKR w - - 0 1"] |
| 394 | QRNNBBKR | qrnnbbkr | [FEN "qrnnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QRNNBBKR w - - 0 1"] |
| 395 | QRNNBKRB | qrnnbkrb | [FEN "qrnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QRNNBKRB w - - 0 1"] |
| 396 | QBRNNKBR | qbrnnkbr | [FEN "qbrnnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBRNNKBR w - - 0 1"] |
| 397 | QRNBNKBR | qrnbnkbr | [FEN "qrnbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QRNBNKBR w - - 0 1"] |
| 398 | QRNNKBBR | qrnnkbbr | [FEN "qrnnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QRNNKBBR w - - 0 1"] |
| 399 | QRNNKRBB | qrnnkrbb | [FEN "qrnnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QRNNKRBB w - - 0 1"] |
| 400 | BBRQNNKR | bbrqnnkr | [FEN "bbrqnnkr/pppppppp/8/8/8/8/PPPPPPPP/BBRQNNKR w - - 0 1"] |
| 401 | BRQBNNKR | brqbnnkr | [FEN "brqbnnkr/pppppppp/8/8/8/8/PPPPPPPP/BRQBNNKR w - - 0 1"] |
| 402 | BRQNNBKR | brqnnbkr | [FEN "brqnnbkr/pppppppp/8/8/8/8/PPPPPPPP/BRQNNBKR w - - 0 1"] |
| 403 | BRQNNKRB | brqnnkrb | [FEN "brqnnkrb/pppppppp/8/8/8/8/PPPPPPPP/BRQNNKRB w - - 0 1"] |
| 404 | RBBQNNKR | rbbqnnkr | [FEN "rbbqnnkr/pppppppp/8/8/8/8/PPPPPPPP/RBBQNNKR w - - 0 1"] |
| 405 | RQBBNNKR | rqbbnnkr | [FEN "rqbbnnkr/pppppppp/8/8/8/8/PPPPPPPP/RQBBNNKR w - - 0 1"] |
| 406 | RQBNNBKR | rqbnnbkr | [FEN "rqbnnbkr/pppppppp/8/8/8/8/PPPPPPPP/RQBNNBKR w - - 0 1"] |
| 407 | RQBNNKRB | rqbnnkrb | [FEN "rqbnnkrb/pppppppp/8/8/8/8/PPPPPPPP/RQBNNKRB w - - 0 1"] |
| 408 | RBQNBNKR | rbqnbnkr | [FEN "rbqnbnkr/pppppppp/8/8/8/8/PPPPPPPP/RBQNBNKR w - - 0 1"] |
| 409 | RQNBBNKR | rqnbbnkr | [FEN "rqnbbnkr/pppppppp/8/8/8/8/PPPPPPPP/RQNBBNKR w - - 0 1"] |
| 410 | RQNNBBKR | rqnnbbkr | [FEN "rqnnbbkr/pppppppp/8/8/8/8/PPPPPPPP/RQNNBBKR w - - 0 1"] |
| 411 | RQNNBKRB | rqnnbkrb | [FEN "rqnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/RQNNBKRB w - - 0 1"] |
| 412 | RBQNNKBR | rbqnnkbr | [FEN "rbqnnkbr/pppppppp/8/8/8/8/PPPPPPPP/RBQNNKBR w - - 0 1"] |
| 413 | RQNBNKBR | rqnbnkbr | [FEN "rqnbnkbr/pppppppp/8/8/8/8/PPPPPPPP/RQNBNKBR w - - 0 1"] |
| 414 | RQNNKBBR | rqnnkbbr | [FEN "rqnnkbbr/pppppppp/8/8/8/8/PPPPPPPP/RQNNKBBR w - - 0 1"] |
| 415 | RQNNKRBB | rqnnkrbb | [FEN "rqnnkrbb/pppppppp/8/8/8/8/PPPPPPPP/RQNNKRBB w - - 0 1"] |
| 416 | BBRNQNKR | bbrnqnkr | [FEN "bbrnqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBRNQNKR w - - 0 1"] |
| 417 | BRNBQNKR | brnbqnkr | [FEN "brnbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQNKR w - - 0 1"] |
| 418 | BRNQNBKR | brnqnbkr | [FEN "brnqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BRNQNBKR w - - 0 1"] |
| 419 | BRNQNKRB | brnqnkrb | [FEN "brnqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BRNQNKRB w - - 0 1"] |
| 420 | RBBNQNKR | rbbnqnkr | [FEN "rbbnqnkr/pppppppp/8/8/8/8/PPPPPPPP/RBBNQNKR w - - 0 1"] |
| 421 | RNBBQNKR | rnbbqnkr | [FEN "rnbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/RNBBQNKR w - - 0 1"] |
| 422 | RNBQNBKR | rnbqnbkr | [FEN "rnbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/RNBQNBKR w - - 0 1"] |
| 423 | RNBQNKRB | rnbqnkrb | [FEN "rnbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/RNBQNKRB w - - 0 1"] |
| 424 | RBNQBNKR | rbnqbnkr | [FEN "rbnqbnkr/pppppppp/8/8/8/8/PPPPPPPP/RBNQBNKR w - - 0 1"] |
| 425 | RNQBBNKR | rnqbbnkr | [FEN "rnqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/RNQBBNKR w - - 0 1"] |
| 426 | RNQNBBKR | rnqnbbkr | [FEN "rnqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNQNBBKR w - - 0 1"] |
| 427 | RNQNBKRB | rnqnbkrb | [FEN "rnqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/RNQNBKRB w - - 0 1"] |
| 428 | RBNQNKBR | rbnqnkbr | [FEN "rbnqnkbr/pppppppp/8/8/8/8/PPPPPPPP/RBNQNKBR w - - 0 1"] |
| 429 | RNQBNKBR | rnqbnkbr | [FEN "rnqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/RNQBNKBR w - - 0 1"] |
| 430 | RNQNKBBR | rnqnkbbr | [FEN "rnqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/RNQNKBBR w - - 0 1"] |
| 431 | RNQNKRBB | rnqnkrbb | [FEN "rnqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/RNQNKRBB w - - 0 1"] |
| 432 | BBRNNQKR | bbrnnqkr | [FEN "bbrnnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBRNNQKR w - - 0 1"] |
| 433 | BRNBNQKR | brnbnqkr | [FEN "brnbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BRNBNQKR w - - 0 1"] |
| 434 | BRNNQBKR | brnnqbkr | [FEN "brnnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BRNNQBKR w - - 0 1"] |
| 435 | BRNNQKRB | brnnqkrb | [FEN "brnnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BRNNQKRB w - - 0 1"] |
| 436 | RBBNNQKR | rbbnnqkr | [FEN "rbbnnqkr/pppppppp/8/8/8/8/PPPPPPPP/RBBNNQKR w - - 0 1"] |
| 437 | RNBBNQKR | rnbbnqkr | [FEN "rnbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/RNBBNQKR w - - 0 1"] |
| 438 | RNBNQBKR | rnbnqbkr | [FEN "rnbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/RNBNQBKR w - - 0 1"] |
| 439 | RNBNQKRB | rnbnqkrb | [FEN "rnbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/RNBNQKRB w - - 0 1"] |
| 440 | RBNNBQKR | rbnnbqkr | [FEN "rbnnbqkr/pppppppp/8/8/8/8/PPPPPPPP/RBNNBQKR w - - 0 1"] |
| 441 | RNNBBQKR | rnnbbqkr | [FEN "rnnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/RNNBBQKR w - - 0 1"] |
| 442 | RNNQBBKR | rnnqbbkr | [FEN "rnnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNNQBBKR w - - 0 1"] |
| 443 | RNNQBKRB | rnnqbkrb | [FEN "rnnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/RNNQBKRB w - - 0 1"] |
| 444 | RBNNQKBR | rbnnqkbr | [FEN "rbnnqkbr/pppppppp/8/8/8/8/PPPPPPPP/RBNNQKBR w - - 0 1"] |
| 445 | RNNBQKBR | rnnbqkbr | [FEN "rnnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/RNNBQKBR w - - 0 1"] |
| 446 | RNNQKBBR | rnnqkbbr | [FEN "rnnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/RNNQKBBR w - - 0 1"] |
| 447 | RNNQKRBB | rnnqkrbb | [FEN "rnnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/RNNQKRBB w - - 0 1"] |
| 448 | BBRNNKQR | bbrnnkqr | [FEN "bbrnnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBRNNKQR w - - 0 1"] |
| 449 | BRNBNKQR | brnbnkqr | [FEN "brnbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BRNBNKQR w - - 0 1"] |
| 450 | BRNNKBQR | brnnkbqr | [FEN "brnnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BRNNKBQR w - - 0 1"] |
| 451 | BRNNKQRB | brnnkqrb | [FEN "brnnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BRNNKQRB w - - 0 1"] |
| 452 | RBBNNKQR | rbbnnkqr | [FEN "rbbnnkqr/pppppppp/8/8/8/8/PPPPPPPP/RBBNNKQR w - - 0 1"] |
| 453 | RNBBNKQR | rnbbnkqr | [FEN "rnbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/RNBBNKQR w - - 0 1"] |
| 454 | RNBNKBQR | rnbnkbqr | [FEN "rnbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/RNBNKBQR w - - 0 1"] |
| 455 | RNBNKQRB | rnbnkqrb | [FEN "rnbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/RNBNKQRB w - - 0 1"] |
| 456 | RBNNBKQR | rbnnbkqr | [FEN "rbnnbkqr/pppppppp/8/8/8/8/PPPPPPPP/RBNNBKQR w - - 0 1"] |
| 457 | RNNBBKQR | rnnbbkqr | [FEN "rnnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/RNNBBKQR w - - 0 1"] |
| 458 | RNNKBBQR | rnnkbbqr | [FEN "rnnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/RNNKBBQR w - - 0 1"] |
| 459 | RNNKBQRB | rnnkbqrb | [FEN "rnnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/RNNKBQRB w - - 0 1"] |
| 460 | RBNNKQBR | rbnnkqbr | [FEN "rbnnkqbr/pppppppp/8/8/8/8/PPPPPPPP/RBNNKQBR w - - 0 1"] |
| 461 | RNNBKQBR | rnnbkqbr | [FEN "rnnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/RNNBKQBR w - - 0 1"] |
| 462 | RNNKQBBR | rnnkqbbr | [FEN "rnnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/RNNKQBBR w - - 0 1"] |
| 463 | RNNKQRBB | rnnkqrbb | [FEN "rnnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/RNNKQRBB w - - 0 1"] |
| 464 | BBRNNKRQ | bbrnnkrq | [FEN "bbrnnkrq/pppppppp/8/8/8/8/PPPPPPPP/BBRNNKRQ w - - 0 1"] |
| 465 | BRNBNKRQ | brnbnkrq | [FEN "brnbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BRNBNKRQ w - - 0 1"] |
| 466 | BRNNKBRQ | brnnkbrq | [FEN "brnnkbrq/pppppppp/8/8/8/8/PPPPPPPP/BRNNKBRQ w - - 0 1"] |
| 467 | BRNNKRQB | brnnkrqb | [FEN "brnnkrqb/pppppppp/8/8/8/8/PPPPPPPP/BRNNKRQB w - - 0 1"] |
| 468 | RBBNNKRQ | rbbnnkrq | [FEN "rbbnnkrq/pppppppp/8/8/8/8/PPPPPPPP/RBBNNKRQ w - - 0 1"] |
| 469 | RNBBNKRQ | rnbbnkrq | [FEN "rnbbnkrq/pppppppp/8/8/8/8/PPPPPPPP/RNBBNKRQ w - - 0 1"] |
| 470 | RNBNKBRQ | rnbnkbrq | [FEN "rnbnkbrq/pppppppp/8/8/8/8/PPPPPPPP/RNBNKBRQ w - - 0 1"] |
| 471 | RNBNKRQB | rnbnkrqb | [FEN "rnbnkrqb/pppppppp/8/8/8/8/PPPPPPPP/RNBNKRQB w - - 0 1"] |
| 472 | RBNNBKRQ | rbnnbkrq | [FEN "rbnnbkrq/pppppppp/8/8/8/8/PPPPPPPP/RBNNBKRQ w - - 0 1"] |
| 473 | RNNBBKRQ | rnnbbkrq | [FEN "rnnbbkrq/pppppppp/8/8/8/8/PPPPPPPP/RNNBBKRQ w - - 0 1"] |
| 474 | RNNKBBRQ | rnnkbbrq | [FEN "rnnkbbrq/pppppppp/8/8/8/8/PPPPPPPP/RNNKBBRQ w - - 0 1"] |
| 475 | RNNKBRQB | rnnkbrqb | [FEN "rnnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/RNNKBRQB w - - 0 1"] |
| 476 | RBNNKRBQ | rbnnkrbq | [FEN "rbnnkrbq/pppppppp/8/8/8/8/PPPPPPPP/RBNNKRBQ w - - 0 1"] |
| 477 | RNNBKRBQ | rnnbkrbq | [FEN "rnnbkrbq/pppppppp/8/8/8/8/PPPPPPPP/RNNBKRBQ w - - 0 1"] |
| 478 | RNNKRBBQ | rnnkrbbq | [FEN "rnnkrbbq/pppppppp/8/8/8/8/PPPPPPPP/RNNKRBBQ w - - 0 1"] |
| 479 | RNNKRQBB | rnnkrqbb | [FEN "rnnkrqbb/pppppppp/8/8/8/8/PPPPPPPP/RNNKRQBB w - - 0 1"] |
| 480 | BBQRNKNR | bbqrnknr | [FEN "bbqrnknr/pppppppp/8/8/8/8/PPPPPPPP/BBQRNKNR w - - 0 1"] |
| 481 | BQRBNKNR | bqrbnknr | [FEN "bqrbnknr/pppppppp/8/8/8/8/PPPPPPPP/BQRBNKNR w - - 0 1"] |
| 482 | BQRNKBNR | bqrnkbnr | [FEN "bqrnkbnr/pppppppp/8/8/8/8/PPPPPPPP/BQRNKBNR w - - 0 1"] |
| 483 | BQRNKNRB | bqrnknrb | [FEN "bqrnknrb/pppppppp/8/8/8/8/PPPPPPPP/BQRNKNRB w - - 0 1"] |
| 484 | QBBRNKNR | qbbrnknr | [FEN "qbbrnknr/pppppppp/8/8/8/8/PPPPPPPP/QBBRNKNR w - - 0 1"] |
| 485 | QRBBNKNR | qrbbnknr | [FEN "qrbbnknr/pppppppp/8/8/8/8/PPPPPPPP/QRBBNKNR w - - 0 1"] |
| 486 | QRBNKBNR | qrbnkbnr | [FEN "qrbnkbnr/pppppppp/8/8/8/8/PPPPPPPP/QRBNKBNR w - - 0 1"] |
| 487 | QRBNKNRB | qrbnknrb | [FEN "qrbnknrb/pppppppp/8/8/8/8/PPPPPPPP/QRBNKNRB w - - 0 1"] |
| 488 | QBRNBKNR | qbrnbknr | [FEN "qbrnbknr/pppppppp/8/8/8/8/PPPPPPPP/QBRNBKNR w - - 0 1"] |
| 489 | QRNBBKNR | qrnbbknr | [FEN "qrnbbknr/pppppppp/8/8/8/8/PPPPPPPP/QRNBBKNR w - - 0 1"] |
| 490 | QRNKBBNR | qrnkbbnr | [FEN "qrnkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QRNKBBNR w - - 0 1"] |
| 491 | QRNKBNRB | qrnkbnrb | [FEN "qrnkbnrb/pppppppp/8/8/8/8/PPPPPPPP/QRNKBNRB w - - 0 1"] |
| 492 | QBRNKNBR | qbrnknbr | [FEN "qbrnknbr/pppppppp/8/8/8/8/PPPPPPPP/QBRNKNBR w - - 0 1"] |
| 493 | QRNBKNBR | qrnbknbr | [FEN "qrnbknbr/pppppppp/8/8/8/8/PPPPPPPP/QRNBKNBR w - - 0 1"] |
| 494 | QRNKNBBR | qrnknbbr | [FEN "qrnknbbr/pppppppp/8/8/8/8/PPPPPPPP/QRNKNBBR w - - 0 1"] |
| 495 | QRNKNRBB | qrnknrbb | [FEN "qrnknrbb/pppppppp/8/8/8/8/PPPPPPPP/QRNKNRBB w - - 0 1"] |
| 496 | BBRQNKNR | bbrqnknr | [FEN "bbrqnknr/pppppppp/8/8/8/8/PPPPPPPP/BBRQNKNR w - - 0 1"] |
| 497 | BRQBNKNR | brqbnknr | [FEN "brqbnknr/pppppppp/8/8/8/8/PPPPPPPP/BRQBNKNR w - - 0 1"] |
| 498 | BRQNKBNR | brqnkbnr | [FEN "brqnkbnr/pppppppp/8/8/8/8/PPPPPPPP/BRQNKBNR w - - 0 1"] |
| 499 | BRQNKNRB | brqnknrb | [FEN "brqnknrb/pppppppp/8/8/8/8/PPPPPPPP/BRQNKNRB w - - 0 1"] |
| 500 | RBBQNKNR | rbbqnknr | [FEN "rbbqnknr/pppppppp/8/8/8/8/PPPPPPPP/RBBQNKNR w - - 0 1"] |
| 501 | RQBBNKNR | rqbbnknr | [FEN "rqbbnknr/pppppppp/8/8/8/8/PPPPPPPP/RQBBNKNR w - - 0 1"] |
| 502 | RQBNKBNR | rqbnkbnr | [FEN "rqbnkbnr/pppppppp/8/8/8/8/PPPPPPPP/RQBNKBNR w - - 0 1"] |
| 503 | RQBNKNRB | rqbnknrb | [FEN "rqbnknrb/pppppppp/8/8/8/8/PPPPPPPP/RQBNKNRB w - - 0 1"] |
| 504 | RBQNBKNR | rbqnbknr | [FEN "rbqnbknr/pppppppp/8/8/8/8/PPPPPPPP/RBQNBKNR w - - 0 1"] |
| 505 | RQNBBKNR | rqnbbknr | [FEN "rqnbbknr/pppppppp/8/8/8/8/PPPPPPPP/RQNBBKNR w - - 0 1"] |
| 506 | RQNKBBNR | rqnkbbnr | [FEN "rqnkbbnr/pppppppp/8/8/8/8/PPPPPPPP/RQNKBBNR w - - 0 1"] |
| 507 | RQNKBNRB | rqnkbnrb | [FEN "rqnkbnrb/pppppppp/8/8/8/8/PPPPPPPP/RQNKBNRB w - - 0 1"] |
| 508 | RBQNKNBR | rbqnknbr | [FEN "rbqnknbr/pppppppp/8/8/8/8/PPPPPPPP/RBQNKNBR w - - 0 1"] |
| 509 | RQNBKNBR | rqnbknbr | [FEN "rqnbknbr/pppppppp/8/8/8/8/PPPPPPPP/RQNBKNBR w - - 0 1"] |
| 510 | RQNKNBBR | rqnknbbr | [FEN "rqnknbbr/pppppppp/8/8/8/8/PPPPPPPP/RQNKNBBR w - - 0 1"] |
| 511 | RQNKNRBB | rqnknrbb | [FEN "rqnknrbb/pppppppp/8/8/8/8/PPPPPPPP/RQNKNRBB w - - 0 1"] |
| 512 | BBRNQKNR | bbrnqknr | [FEN "bbrnqknr/pppppppp/8/8/8/8/PPPPPPPP/BBRNQKNR w - - 0 1"] |
| 513 | BRNBQKNR | brnbqknr | [FEN "brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w - - 0 1"] |
| 514 | BRNQKBNR | brnqkbnr | [FEN "brnqkbnr/pppppppp/8/8/8/8/PPPPPPPP/BRNQKBNR w - - 0 1"] |
| 515 | BRNQKNRB | brnqknrb | [FEN "brnqknrb/pppppppp/8/8/8/8/PPPPPPPP/BRNQKNRB w - - 0 1"] |
| 516 | RBBNQKNR | rbbnqknr | [FEN "rbbnqknr/pppppppp/8/8/8/8/PPPPPPPP/RBBNQKNR w - - 0 1"] |
| 517 | RNBBQKNR | rnbbqknr | [FEN "rnbbqknr/pppppppp/8/8/8/8/PPPPPPPP/RNBBQKNR w - - 0 1"] |
| 518 | RNBQKBNR | rnbqkbnr | [FEN "rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w - - 0 1"] |
| 519 | RNBQKNRB | rnbqknrb | [FEN "rnbqknrb/pppppppp/8/8/8/8/PPPPPPPP/RNBQKNRB w - - 0 1"] |
| 520 | RBNQBKNR | rbnqbknr | [FEN "rbnqbknr/pppppppp/8/8/8/8/PPPPPPPP/RBNQBKNR w - - 0 1"] |
| 521 | RNQBBKNR | rnqbbknr | [FEN "rnqbbknr/pppppppp/8/8/8/8/PPPPPPPP/RNQBBKNR w - - 0 1"] |
| 522 | RNQKBBNR | rnqkbbnr | [FEN "rnqkbbnr/pppppppp/8/8/8/8/PPPPPPPP/RNQKBBNR w - - 0 1"] |
| 523 | RNQKBNRB | rnqkbnrb | [FEN "rnqkbnrb/pppppppp/8/8/8/8/PPPPPPPP/RNQKBNRB w - - 0 1"] |
| 524 | RBNQKNBR | rbnqknbr | [FEN "rbnqknbr/pppppppp/8/8/8/8/PPPPPPPP/RBNQKNBR w - - 0 1"] |
| 525 | RNQBKNBR | rnqbknbr | [FEN "rnqbknbr/pppppppp/8/8/8/8/PPPPPPPP/RNQBKNBR w - - 0 1"] |
| 526 | RNQKNBBR | rnqknbbr | [FEN "rnqknbbr/pppppppp/8/8/8/8/PPPPPPPP/RNQKNBBR w - - 0 1"] |
| 527 | RNQKNRBB | rnqknrbb | [FEN "rnqknrbb/pppppppp/8/8/8/8/PPPPPPPP/RNQKNRBB w - - 0 1"] |
| 528 | BBRNKQNR | bbrnkqnr | [FEN "bbrnkqnr/pppppppp/8/8/8/8/PPPPPPPP/BBRNKQNR w - - 0 1"] |
